group_name,num_users_in_control,num_funded_in_control,funding_rate_in_control,num_link_in_control,link_rate_in_control
20D_Act-5D_Act_D,369786,7802,0.021098689512312526,9899,0.02676953697543985
20D_Act_D,274921,4053,0.014742416912494862,5143,0.018707192247954866
6M_App-20D_Act-5D_Act_D,193445,11556,0.05973791000025847,13396,0.06924965752539482
6M_App-20D_Act_D,178938,5636,0.031496943075255114,6570,0.036716628105824364
6M_App-link-20D_Act-5D_Act_D,29697,3047,0.10260295652759538,29697,1.0
6M_App-link-20D_Act_D,7883,291,0.03691488012178105,7883,1.0
6M_App-link_D,87008,1072,0.012320706141963957,87008,1.0
6M_App_D,774827,8675,0.011196047633858912,10086,0.013017099300876196
ML_unfund_exp_control_D,1000000,4443,0.004443,5461,0.005461
link-20D_Act-5D_Act_D,96513,3645,0.03776693295203755,96513,1.0
link-20D_Act_D,62541,1390,0.022225420124398394,62541,1.0
link_D,901341,5756,0.006386040355425971,901341,1.0
